VALS	20	50	1
PUT	357
PUT	1239
PUT	1682
PUT	814
PUT	3672
PUT	2648
PUT	3974
GET	5285
PUT	5894
PUT	8744
PUT	1955
PUT	3081
PUT	4382
PUT	7630
PUT	6597
PUT	10105
GET	1946
PUT	4185
PUT	3411
PUT	4486
PUT	4066
PUT	6351
GET	10890
PUT	12887
PUT	6438
GET	2745
GET	7793
PUT	9568
PUT	9093
PUT	9658
PUT	10444
GET	10761
PUT	2152
GET	7475
GET	9580
PUT	12717
PUT	6179
PUT	16899
GET	215
GET	4921
PUT	11199
PUT	11273
GET	9185
PUT	12936
PUT	14460
GET	7482
GET	11916
PUT	8579
PUT	15034
PUT	17315
PUT	15399
PUT	16573
PUT	19350
GET	7344
PUT	20902
PUT	16439
GET	13735
PUT	22509
GET	7660
PUT	20094
PUT	19763
GET	17118
GET	7216
GET	11600
GET	16929
PUT	10071
PUT	24395
PUT	22177
PUT	4831
PUT	23229
GET	19287
PUT	25543
PUT	26121
GET	2571
GET	15864
GET	10070
PUT	1847
GET	8250
GET	19455
GET	33619
GET	16785
GET	24270
PUT	18990
PUT	17511
PUT	10649
PUT	29540
PUT	14401
GET	17601
GET	13246
GET	8042
PUT	29664
PUT	23194
GET	15108
PUT	21515
GET	24370
GET	23996
GET	16023
PUT	19738
GET	2357
PUT	6879
PUT	17752
GET	15892
PUT	37515
PUT	24776
PUT	10058
PUT	18179
PUT	25958
GET	11089
GET	20754
PUT	11308
PUT	37622
GET	20304
GET	44176
GET	23180
GET	15340
GET	22105
PUT	14227
GET	10571
GET	2807
GET	28571
PUT	1582
GET	22507
PUT	21343
GET	37394
GET	32249
GET	1598
PUT	4253
GET	9940
GET	20145
GET	14801
GET	21220
GET	2300
PUT	15868
PUT	15757
GET	15041
GET	18027
PUT	18463
PUT	10660
GET	10463
GET	20316
PUT	22528
PUT	11061
GET	42566
GET	17469
PUT	23382
PUT	19923
GET	28016
PUT	6420
PUT	30529
PUT	14138
GET	14147
GET	17805
PUT	40575
PUT	52962
PUT	41375
GET	54057
GET	43641
PUT	42311
GET	55660
GET	38612
GET	48537
PUT	46485
PUT	46999
PUT	2519
GET	38547
GET	56353
PUT	53665
GET	50537
PUT	34592
PUT	48888
PUT	51740
PUT	46885
PUT	36834
GET	36672
PUT	71037
PUT	63403
GET	38382
PUT	52280
GET	7667
GET	73731
GET	24713
PUT	6935
PUT	42664
PUT	44888
PUT	56595
GET	195
GET	41641
GET	1870
GET	54628
GET	55679
PUT	52752
GET	5670
GET	2458
PUT	47336
GET	9952
PUT	3292
GET	41656
GET	55740
GET	3619
PUT	7915
GET	8022
PUT	49019
PUT	54110
GET	56256
PUT	3697
PUT	6036
PUT	43758
PUT	56421
GET	1627
GET	10413
GET	12362
GET	2811
GET	9485
GET	10394
GET	7330
GET	8509
GET	46529
PUT	13775
GET	29070
PUT	8251
PUT	10315
PUT	15514
PUT	11439
GET	11182
PUT	15618
GET	15904
PUT	35246
GET	8835
GET	10548
GET	14844
GET	41425
PUT	9817
PUT	5818
PUT	12146
PUT	10180
GET	17983
PUT	56095
GET	3609
GET	12076
PUT	52853
GET	18995
PUT	3736
GET	1698
PUT	14269
GET	7008
GET	11409
PUT	13650
GET	5217
GET	4944
PUT	17426
PUT	21976
PUT	5941
GET	3021
GET	737
GET	866
GET	8062
PUT	9751
PUT	11893
GET	7658
GET	14903
PUT	8751
GET	10423
GET	16600
PUT	13962
GET	9026
GET	12543
GET	17989
PUT	17945
GET	18147
PUT	8862
PUT	11751
PUT	8712
GET	652
PUT	9679
GET	8697
GET	15615
GET	13184
GET	10964
PUT	3674
GET	8132
GET	10993
GET	7156
GET	4594
GET	3297
PUT	6977
GET	8654
PUT	6855
GET	7634
PUT	3057
GET	2956
GET	5290
GET	7500
GET	4961
PUT	2925
PUT	5167
GET	2400
GET	4132
GET	1930
GET	3344
GET	4426
VALS	20	50	2
PUT	5430
PUT	6757
PUT	5748
PUT	3794
PUT	12919
PUT	7413
PUT	13007
GET	5123
PUT	3878
PUT	20670
PUT	22030
PUT	13130
GET	6190
PUT	14803
PUT	14337
PUT	18520
PUT	14304
PUT	17887
GET	3137
GET	12233
PUT	14161
GET	3873
GET	4283
GET	5808
PUT	20069
PUT	27660
PUT	27665
PUT	2106
PUT	19729
PUT	20672
GET	6438
PUT	20306
PUT	30133
GET	19694
GET	8466
PUT	26013
GET	14901
PUT	9114
PUT	22984
PUT	22314
PUT	31919
GET	9571
GET	606
PUT	28067
PUT	29415
PUT	28671
GET	4869
PUT	27457
GET	960
GET	6037
PUT	25471
PUT	1301
PUT	1024
PUT	31864
PUT	1389
GET	9864
PUT	27610
PUT	28115
PUT	29723
PUT	33285
PUT	29086
PUT	14805
PUT	38951
PUT	33507
PUT	28869
PUT	7184
PUT	29224
PUT	16559
GET	6673
GET	30945
PUT	12093
PUT	31756
GET	10177
GET	4661
PUT	37916
PUT	43321
GET	5142
PUT	37108
GET	8409
PUT	33545
GET	5103
PUT	38774
PUT	15150
GET	5828
GET	1142
PUT	38972
GET	25158
GET	15681
PUT	18508
PUT	21549
GET	20277
PUT	2239
PUT	5961
PUT	3919
PUT	16261
PUT	6519
PUT	12459
GET	1055
GET	19127
GET	14911
GET	27546
GET	14484
PUT	262
GET	18897
GET	8186
GET	35995
GET	22498
GET	17906
PUT	21029
GET	24491
PUT	46494
GET	4519
GET	11953
GET	15097
GET	22030
PUT	7155
GET	1221
GET	14627
GET	29017
GET	7075
GET	18534
PUT	564
PUT	1635
GET	20881
PUT	6195
PUT	8300
PUT	29278
PUT	12207
GET	1505
GET	1452
GET	9027
GET	15569
PUT	7241
PUT	6952
GET	22665
GET	11922
GET	14816
GET	5383
GET	17662
GET	23420
GET	11539
PUT	417
GET	17719
PUT	8907
GET	22378
GET	12862
GET	24672
GET	3156
GET	8547
PUT	10848
GET	25642
PUT	4992
GET	10230
PUT	22274
PUT	11742
PUT	17968
PUT	23410
GET	18893
PUT	19254
PUT	5065
PUT	17253
PUT	6974PUT	
16744
GET	24423
PUT	17972
GET	14611
PUT	15766
PUT	18011
GET	20076
GET	7609
GET	GET	262584325

PUT	19288
PUT	17928
GET	21759
GET	4946
PUT	11679
PUT	11321
GET	4949
GET	12032
PUT	16849
GET	16577
GET	4353
