GET	1365
GET	229
PUT	5183
PUT	12214
PUT	6449
GET	13988
GET	2218
PUT	14669
GET	6662
GET	5764
PUT	6465
PUT	11067
GET	5663
PUT	540
GET	764
GET	6151
GET	5339
GET	3993
GET	14157
GET	7154
PUT	10561
GET	7321
GET	16541
GET	6987
GET	11912
PUT	9077
PUT	14769
PUT	18612
GET	3949
GET	6084
PUT	13278
PUT	15312
GET	662
GET	12094
PUT	6886
GET	6336
GET	2945
PUT	1926
GET	2129
GET	673
GET	1834
GET	8596
PUT	4924
GET	2812
GET	6673
PUT	10640
GET	2149
PUT	641
PUT	4882
PUT	3164
PUT	3840
GET	5397
GET	998
PUT	6025
PUT	4510
PUT	5353
GET	3570
GET	3300
GET	2811
GET	4327
GET	3445
GET	2763
GET	2205
GET	2851
PUT	4501
GET	2065
GET	1008110
GET	1005417
GET	1006243
GET	1002310
PUT	1000
PUT	1536
PUT	1324
GET	1041
GET	953
PUT	1182
PUT	1158
GET	1001448
GET	1429
GET	3340
PUT	7182
GET	716
GET	1002377
GET	1001664
GET	1006628
PUT	412
GET	1001469
GET	2992
PUT	3218
GET	883
GET	1000995
GET	1003291
GET	1005509
GET	1001473
PUT	4912
PUT	654
GET	358
PUT	3992
GET	1001140
GET	3325
PUT	2271
GET	2547
PUT	1537
GET	1349
GET	1003466
GET	2248
GET	1008908
GET	1003998
VALS	20	50	3
PUT	PUT	1265
2444
PUT	2983
GET	512
PUT	618
PUT	584
PUT	1116
PUT	1346
PUT	836
PUT	1053
PUT	5814
GET	802
PUT	3530
PUT	2266
PUT	2970
PUT	2803
PUT	7436
PUT	5255
GET	2196
GET	5204
PUT	4457
PUT	4691
PUT	9084
PUT	1221
PUT	6078
PUT	2668
PUT	6330
GET	2375
GET	3965
PUT	7626
GET	2145
GET	4212
PUT	9292
PUT	12860
PUT	6122
PUT	8703
PUT	1587
PUT	7827
PUT	10479
GET	8147
PUT	11359
PUT	9311
PUT	12066
PUT	4609
PUT	12229
PUT	12989
PUT	14104
PUT	17843
GET	15679
PUT	13535
GET	8002
GET	5742
PUT	16232
GET	9640
PUT	15265
PUT	17184
PUT	7898
PUT	15427
GET	14830
PUT	18773
GET	6903
GET	11781
GET	17794
PUT	2895
GET	14290
PUT	PUT	2330
18879
GET	15987
GET	4212
GET	10347
GET	6583
GET	6948
PUT	1288
PUT	2111
PUT	20388
PUT	19333
PUT	19665
GET	1154
GET	2871
GET	970
GET	5976
PUT	21225
GET	11905
PUT	20794
GET	11675
PUT	295
GET	1944
PUT	10499
PUT	23322
GET	23362
GET	16079
PUT	2006
PUT	3799
GET	21282
GET	2273
PUT	2556
PUT	23833
PUT	5132
GET	12530
GET	8706
PUT	23186
GET	17117
GET	12975
GET	3185
GET	3030
GET	10285
PUT	26186
GET	12055
PUT	3314
PUT	8128
PUT	12836
PUT	28129
PUT	8879
GET	6399
GET	3866
PUT	2345
GET	15745
PUT	3347
PUT	12156
GET	7829
GET	22466
PUT	10874
GET	13686
GET	679
PUT	804
GET	7120
PUT	5310
PUT	23215
GET	19421
GET	5364
PUT	5599
PUT	2459
PUT	1172
PUT	927
GET	23288
GET	19367
GET	800
GET	5266
GET	5174
GET	5985
GET	4551
GET	2532
PUT	8849
GET	20156
PUT	19810
GET	18152
PUT	3003
PUT	10413
GET	15985
GET	17523
PUT	6975
GET	20878
PUT	15426
PUT	8922
PUT	2395
PUT	5902
GET	2076
PUT	14911
PUT	17364
PUT	14754
PUT	8869
PUT	14126
PUT	3290
PUT	24112
GET	8977
PUT	11348
GET	16647
GET	9769
PUT	7877
PUT	18731
GET	1616
GET	18627
GET	10241
PUT	9980
PUT	1493
GET	5939
GET	13322
PUT	7179
GET	11772
GET	14472
GET	11575
GET	16915
PUT	15858
GET	18972
GET	7113
GET	9714
PUT	1357
PUT	12335
GET	3004
GET	8742
PUT	2126
GET	5165
GET	26813
GET	8751
PUT	13406
GET	976
PUT	596
PUT	14715
PUT	25341
PUT	15105
PUT	4025
GET	4875
GET	4203
GET	12380
GET	1606
PUT	5435
GET	15050
PUT	1041
PUT	13790
PUT	17257
GET	10841
PUT	14908
GET	1468
PUT	20095
GET	10034
GET	12878
PUT	6648
GET	5158
GET	14148
GET	14458
GET	16781
GET	10988
GET	12324
PUT	15542
GET	7979
GET	3779
PUT	1454
GET	8768
GET	612
GET	18455
GET	1444
PUT	16748
PUT	15400
PUT	10848
GET	13637
GET	8730
PUT	17694
GET	8335
PUT	11044
GET	12086
PUT	21311
PUT	8919
PUT	9406
GET	12424
PUT	12374
PUT	8651
PUT	11407
PUT	11258
GET	1984
PUT	15604
PUT	11733
PUT	7388
GET	6990
GET	7775
GET	3901
GET	6817
GET	6796
GET	4242
GET	7992
GET	13236
GET	10422
GET	13620
PUT	14173
GET	8177
GET	4677
GET	1159
PUT	8849
GET	8009
GET	5182
PUT	2916
GET	2901
GET	3924
GET	1009258
GET	1012578
PUT	4949
GET	568
GET	1001427
PUT	794
PUT	8183
GET	1298
PUT	442
GET	1095
PUT	7970
GET	853
GET	6109
GET	1001984
GET	1006750
PUT	321
PUT	787
GET	2272
GET	2877
GET	1005857
GET	1002537
GET	1002084
PUT	863
PUT	1940
GET	913
GET	1001007
GET	1001563
GET	1009306
VALS	25	50	3
PUT	1038
PUT	2118
PUT	2954
PUT	3151
PUT	2384
PUT	4391
GET	2484
GET	1912
PUT	5043
PUT	827
PUT	1989
PUT	1149
PUT	1116
GET	1075
PUT	1176
GET	1552
PUT	3038
PUT	8292
GET	4035
PUT	1846
PUT	1565
GET	1129
PUT	6561
GET	6135
GET	5101
PUT	2070
GET	9748
GET	1151
PUT	8581
PUT	1836
PUT	8133
PUT	9859
GET	8035
PUT	10052
PUT	2124
PUT	2243
GET	7783
GET	2302
PUT	11046
PUT	12297
PUT	12510
PUT	777
